bus_idx,bus_name,bus_number,voltage_kv,voltage_pu,angle_deg,area
0,Bus 01,0,345.0,1.0474687298095087,-1.0959312157890087,0
1,Bus 02,0,345.0,1.0443683954338323,-2.8023150030633617,0
2,Bus 03,0,345.0,1.019377003915459,-7.066476958283807,0
3,Bus 04,0,345.0,0.9849467860516712,-9.892413839992546,0
4,Bus 05,0,345.0,0.9797308309091713,-9.85675100360805,0
5,Bus 06,0,345.0,0.9804525532813332,-9.575995839458201,0
6,Bus 07,0,345.0,0.9709841781547898,-10.972520102454268,0
7,Bus 08,0,345.0,0.9706471758928525,-11.037325539356384,0
8,Bus 09,0,345.0,1.0143053189223052,-4.391118176655896,0
9,Bus 10,0,345.0,0.9998947324804522,-6.374261383514663,0
10,Bus 11,0,345.0,0.9919782994876845,-7.443371383792905,0
11,Bus 12,0,138.0,0.9810165531162252,-7.212934666987602,0
12,Bus 13,0,345.0,0.9973265416353225,-6.873571261840152,0
13,Bus 14,0,345.0,0.9956464885574654,-7.984160395091318,0
14,Bus 15,0,345.0,1.005575880328294,-7.190655776596713,0
15,Bus 16,0,345.0,1.0252150219244132,-5.250412855982792,0
16,Bus 17,0,345.0,1.0260651646726664,-6.0188906060836675,0
17,Bus 18,0,345.0,1.0221784919417296,-6.8527868108688175,0
18,Bus 19,0,345.0,1.0474868196753984,-0.06033284699433726,0
19,Bus 20,0,230.0,0.9899609111752599,-1.0588871570948424,0
20,Bus 21,0,345.0,1.0271432862916514,-2.8240572961184403,0
21,Bus 22,0,345.0,1.047322499244186,1.6484797944602503,0
22,Bus 23,0,345.0,1.0422295797392174,1.4493997087488384,0
23,Bus 24,0,345.0,1.0313329477031759,-5.1309472813348265,0
24,Bus 25,0,345.0,1.0527731006059642,-1.6181189086052632,0
25,Bus 26,0,345.0,1.0463339172592363,-3.340299442856181,0
26,Bus 27,0,345.0,1.0308887567299667,-5.734223457361211,0
27,Bus 28,0,345.0,1.0466847585565984,0.43629293386826046,0
28,Bus 29,0,345.0,1.0474624402587172,3.2851669885042343,0
29,Bus 30,0,16.5,1.0475000143060313,-0.3724198286637127,0
30,Bus 31,0,16.5,0.9150505887243462,-9.733163463939405,0
31,Bus 32,0,16.5,0.9830999970438047,1.7607454432723872,0
32,Bus 33,0,16.5,0.9972000122088388,5.1625563713562315,0
33,Bus 34,0,16.5,1.0123000144979941,4.13364028272452,0
34,Bus 35,0,16.5,1.0492999553694715,6.6219707566424075,0
35,Bus 36,0,16.5,1.0635000467312017,9.319064754049954,0
36,Bus 37,0,16.5,1.0277999639521094,5.190600103882366,0
37,Bus 38,0,16.5,1.0264999866493694,10.529430055559459,0
38,Bus 39,0,345.0,1.0299999713897705,0.0,0
